,Race ID,Driver ID,position,avg laptime,Avg Pit Time
0,841,1,2.0,92975.10344827586,23213.0
1,42,18,12.0,76989.95833333331,23252.75
2,842,1,7.0,105531.94642857145,23252.75
3,43,18,8.0,78758.35714285714,20659.33333333333
4,843,1,1.0,103896.89285714287,20659.33333333333
5,44,18,10.0,85307.77586206897,24909.25
6,844,1,4.0,94099.8275862069,24909.25
7,45,18,5.0,133203.5,20364.25
8,845,1,2.0,90059.56060606061,20364.25
9,46,18,20.0,85482.54285714286,25923.0
10,846,1,6.0,100071.57692307694,25923.0
11,48,18,8.0,90376.8679245283,20529.0
12,848,1,4.0,105655.42105263156,20529.0
13,49,18,16.0,114073.86111111114,24168.33333333333
14,849,1,4.0,102888.11538461539,24168.33333333333
15,50,18,10.0,109406.36363636363,20627.0
16,850,1,1.0,97505.56666666668,20627.0
17,51,18,5.0,106197.51785714287,19866.666666666668
18,851,1,4.0,92152.5,19866.666666666668
19,852,1,5.0,118291.08333333331,21895.0
20,52,18,10.0,76622.05,21895.0
21,853,1,4.0,91765.83018867923,21979.5
22,53,18,4.0,94845.56140350876,21979.5
23,854,1,5.0,118270.86885245901,29704.4
24,54,18,3.0,97324.28571428572,29704.4
25,855,1,5.0,103352.7358490566,21734.666666666668
26,55,18,5.0,100277.46428571428,21734.666666666668
27,856,1,2.0,107163.87272727274,20715.0
28,56,18,7.0,88808.40322580644,20715.0
29,57,18,6.0,98697.35714285713,23965.0
30,857,1,7.0,91986.41666666669,23965.0
31,58,18,6.0,79395.54545454546,19394.5
32,858,1,1.0,106034.29090909092,19394.5
33,859,1,6.0,79559.76086956523,20725.33333333333
34,59,18,11.0,81535.50649350649,20725.33333333333
35,860,1,3.0,97476.55172413793,23163.0
36,60,18,12.0,102892.0,23163.0
37,61,18,9.0,82584.52173913043,26190.0
38,861,1,3.0,176900.05357142858,26190.0
39,862,1,3.0,103802.51785714287,20590.33333333333
40,62,18,15.0,124957.33333333331,20590.33333333333
41,63,18,14.0,81016.72131147541,27553.0
42,863,1,8.0,101227.61403508774,27553.0
43,64,18,4.0,78964.04477611941,20971.5
44,864,1,8.0,91322.5,20971.5
45,65,18,1.0,96299.15714285716,25748.0
46,865,1,5.0,81675.10256410256,25748.0
47,866,1,1.0,79279.8,21952.5
48,66,18,4.0,92127.86206896552,21952.5
49,867,1,4.0,110004.94545454544,25218.0
50,67,18,5.0,85370.94339622643,25218.0
51,68,18,4.0,105800.05357142855,24750.5
52,868,1,8.0,98995.21153846152,24750.5
53,869,1,16.0,83813.46428571429,19162.33333333333
54,69,18,4.0,95613.47169811321,19162.33333333333
55,70,18,3.0,77931.61971830987,19747.5
56,870,1,1.0,87905.84057971013,19747.5
57,872,1,1.0,90211.71698113206,20736.0
58,72,18,6.0,102487.5,20736.0
59,73,18,4.0,95094.04347826086,29124.0
60,873,1,1.0,117812.68181818182,29124.0
61,74,18,3.0,85038.74193548386,20471.0
62,874,1,5.0,101560.98113207547,20471.0
63,875,1,10.0,106697.14545454546,19954.0
64,876,1,4.0,91410.88333333332,20852.0
65,78,18,3.0,77181.76086956523,20814.0
66,878,1,1.0,102772.66071428572,20814.0
67,879,1,1.0,87265.98148148147,23008.0
68,880,1,5.0,93944.58620689657,21982.666666666668
69,80,18,4.0,79506.85507246378,21982.666666666668
70,881,1,3.0,106229.67857142855,22304.5
71,81,18,5.0,85164.2,22304.5
72,82,18,3.0,77806.28358208956,20187.666666666668
73,882,1,3.0,103558.33928571428,20187.666666666668
74,83,18,5.0,84348.34285714285,21705.33333333333
75,883,1,5.0,101679.43859649124,21705.33333333333
76,84,18,5.0,88168.24137931035,20326.75
77,884,1,12.0,91808.69230769233,20326.75
78,885,1,4.0,106230.1282051282,24801.0
79,85,18,8.0,85514.98113207548,24801.0
80,886,1,3.0,79215.5,20767.5
81,86,18,3.0,123485.72727272726,20767.5
82,87,18,7.0,76632.87142857142,26830.5
83,887,1,4.0,107446.38461538461,26830.5
84,88,18,5.0,101353.18867924527,19374.666666666668
85,888,1,5.0,101693.96666666666,19374.666666666668
86,90,18,6.0,88385.43103448275,21810.0
87,890,1,1.0,87849.21428571429,21810.0
88,91,18,3.0,97840.32142857145,23039.5
89,891,1,3.0,114771.13636363635,23039.5
90,92,18,3.0,93711.61403508774,24387.5
91,892,1,9.0,89563.75471698113,24387.5
92,93,18,2.0,83699.54838709677,29558.5
93,893,1,5.0,118135.91803278688,29558.5
94,894,1,5.0,113071.92727272726,22260.5
95,94,18,8.0,80931.32307692307,22260.5
96,895,1,20.0,113201.57142857145,25297.0
97,95,18,2.0,82429.84415584416,25297.0
98,896,1,6.0,92077.7,23560.0
99,96,18,3.0,92960.56666666668,23560.0
100,97,18,4.0,76074.45714285714,21490.5
101,897,1,7.0,108461.32727272727,21490.5
102,98,18,12.0,101968.92307692306,23904.0
103,898,1,4.0,106866.17857142855,23904.0
104,99,18,5.0,77865.95714285714,21487.666666666668
105,899,1,9.0,79284.54929577465,21487.666666666668
106,901,1,1.0,107606.67857142855,24794.66666666667
107,902,1,1.0,104960.40350877194,24916.5
108,903,1,1.0,103800.17857142855,23483.5
109,904,1,1.0,91896.28787878787,23270.5
110,905,1,2.0,84318.85897435897,27509.0
111,906,1,3.0,87211.60869565218,23985.5
112,907,1,2.0,74322.64788732394,22390.5
113,908,1,1.0,169463.34615384616,29485.0
114,909,1,3.0,84260.35820895522,19832.0
115,910,1,3.0,97013.07142857145,23582.0
116,911,1,1.0,118686.31578947367,24467.66666666667
117,912,1,1.0,89627.09433962264,24453.0
118,913,1,1.0,120079.91666666669,29915.33333333333
120,915,1,1.0,103976.30188679244,30503.0
121,916,1,1.0,107228.30357142855,24306.0
122,917,1,2.0,76112.84507042254,23483.0
123,918,1,1.0,108047.61818181818,21886.0
124,926,1,1.0,95070.12068965516,22295.0
125,927,1,2.0,108470.75,24956.0
126,928,1,1.0,106821.57142857145,22440.0
127,929,1,1.0,100101.91228070176,25159.5
128,930,1,2.0,92274.33333333331,23092.66666666667
129,931,1,3.0,84159.91025641025,24838.0
130,932,1,1.0,78759.21428571429,23708.0
131,933,1,2.0,76348.30985915494,21869.0
132,934,1,1.0,105533.25,28698.0
133,936,1,6.0,93072.60869565216,21281.166666666668
134,36,19,16.0,91636.03571428572,21281.166666666668
135,937,1,1.0,116753.18604651165,22679.0
136,37,19,16.0,101766.2181818182,22679.0
137,938,1,1.0,88314.8679245283,24368.0
138,38,19,12.0,100685.29411764706,24368.0
139,939,1,18.0,124020.3125,28917.0
140,39,19,11.0,86517.140625,28917.0
141,940,1,1.0,99745.43396226416,22957.5
142,40,19,18.0,79862.07894736843,22957.5
143,941,1,1.0,110019.32075471699,30216.0
144,41,19,11.0,89651.57142857142,30216.0
145,942,1,1.0,118798.26785714286,24221.0
146,42,19,11.0,76853.25,24221.0
147,943,1,2.0,86718.19718309859,22316.0
148,43,19,19.0,104767.0,22316.0
149,44,19,18.0,101542.71428571428,23470.66666666667
150,944,1,2.0,77138.67605633802,23470.66666666667
151,45,19,12.0,130050.79661016948,21369.0
