Race ID,Driver ID,position,avg laptime,Avg Pit Time
841,1,2.0,92975.10344827586,23213.0
42,18,12.0,76989.95833333333,23252.75
842,1,7.0,105531.94642857143,23252.75
43,18,8.0,78758.35714285714,20659.33333333333
843,1,1.0,103896.89285714286,20659.33333333333
44,18,10.0,85307.77586206897,24909.25
844,1,4.0,94099.8275862069,24909.25
45,18,5.0,133203.5,20364.25
845,1,2.0,90059.56060606061,20364.25
46,18,20.0,85482.54285714286,25923.0
846,1,6.0,100071.57692307692,25923.0
48,18,8.0,90376.8679245283,20529.0
848,1,4.0,105655.42105263156,20529.0
49,18,16.0,114073.86111111112,24168.33333333333
849,1,4.0,102888.1153846154,24168.33333333333
50,18,10.0,109406.36363636365,20627.0
850,1,1.0,97505.56666666668,20627.0
51,18,5.0,106197.51785714286,19866.666666666668
851,1,4.0,92152.5,19866.666666666668
852,1,5.0,118291.08333333331,21895.0
52,18,10.0,76622.05,21895.0
853,1,4.0,91765.83018867925,21979.5
53,18,4.0,94845.56140350878,21979.5
854,1,5.0,118270.868852459,29704.4
54,18,3.0,97324.28571428572,29704.4
855,1,5.0,103352.7358490566,21734.666666666668
55,18,5.0,100277.46428571428,21734.666666666668
856,1,2.0,107163.87272727273,20715.0
56,18,7.0,88808.40322580645,20715.0
57,18,6.0,98697.35714285714,23965.0
857,1,7.0,91986.41666666669,23965.0
58,18,6.0,79395.54545454546,19394.5
858,1,1.0,106034.29090909092,19394.5
859,1,6.0,79559.76086956522,20725.33333333333
59,18,11.0,81535.50649350649,20725.33333333333
860,1,3.0,97476.55172413791,23163.0
60,18,12.0,102892.0,23163.0
61,18,9.0,82584.52173913043,26190.0
861,1,3.0,176900.05357142858,26190.0
862,1,3.0,103802.51785714286,20590.33333333333
62,18,15.0,124957.33333333331,20590.33333333333
63,18,14.0,81016.72131147541,27553.0
863,1,8.0,101227.61403508772,27553.0
64,18,4.0,78964.04477611941,20971.5
864,1,8.0,91322.5,20971.5
65,18,1.0,96299.15714285716,25748.0
865,1,5.0,81675.10256410256,25748.0
866,1,1.0,79279.8,21952.5
66,18,4.0,92127.86206896552,21952.5
867,1,4.0,110004.94545454544,25218.0
67,18,5.0,85370.94339622642,25218.0
68,18,4.0,105800.05357142857,24750.5
868,1,8.0,98995.21153846152,24750.5
869,1,16.0,83813.46428571429,19162.33333333333
69,18,4.0,95613.4716981132,19162.33333333333
70,18,3.0,77931.61971830986,19747.5
870,1,1.0,87905.84057971014,19747.5
872,1,1.0,90211.71698113208,20736.0
72,18,6.0,102487.5,20736.0
73,18,4.0,95094.04347826086,29124.0
873,1,1.0,117812.68181818182,29124.0
74,18,3.0,85038.74193548386,20471.0
874,1,5.0,101560.98113207548,20471.0
875,1,10.0,106697.14545454546,19954.0
876,1,4.0,91410.88333333332,20852.0
78,18,3.0,77181.76086956522,20814.0
878,1,1.0,102772.66071428572,20814.0
879,1,1.0,87265.98148148147,23008.0
880,1,5.0,93944.58620689657,21982.666666666668
80,18,4.0,79506.85507246378,21982.666666666668
881,1,3.0,106229.67857142857,22304.5
81,18,5.0,85164.2,22304.5
82,18,3.0,77806.28358208956,20187.666666666668
882,1,3.0,103558.33928571428,20187.666666666668
83,18,5.0,84348.34285714285,21705.33333333333
883,1,5.0,101679.43859649122,21705.33333333333
84,18,5.0,88168.24137931035,20326.75
884,1,12.0,91808.69230769233,20326.75
885,1,4.0,106230.1282051282,24801.0
85,18,8.0,85514.98113207547,24801.0
886,1,3.0,79215.5,20767.5
86,18,3.0,123485.72727272728,20767.5
87,18,7.0,76632.87142857142,26830.5
887,1,4.0,107446.3846153846,26830.5
88,18,5.0,101353.18867924529,19374.666666666668
888,1,5.0,101693.96666666666,19374.666666666668
90,18,6.0,88385.43103448275,21810.0
890,1,1.0,87849.21428571429,21810.0
91,18,3.0,97840.32142857143,23039.5
891,1,3.0,114771.13636363635,23039.5
92,18,3.0,93711.61403508772,24387.5
892,1,9.0,89563.75471698113,24387.5
93,18,2.0,83699.54838709677,29558.5
893,1,5.0,118135.91803278688,29558.5
894,1,5.0,113071.92727272728,22260.5
94,18,8.0,80931.32307692307,22260.5
895,1,20.0,113201.57142857143,25297.0
95,18,2.0,82429.84415584416,25297.0
896,1,6.0,92077.7,23560.0
96,18,3.0,92960.56666666668,23560.0
97,18,4.0,76074.45714285714,21490.5
897,1,7.0,108461.32727272729,21490.5
98,18,12.0,101968.92307692308,23904.0
898,1,4.0,106866.17857142857,23904.0
99,18,5.0,77865.95714285714,21487.666666666668
899,1,9.0,79284.54929577465,21487.666666666668
901,1,1.0,107606.67857142857,24794.666666666668
902,1,1.0,104960.40350877192,24916.5
903,1,1.0,103800.17857142857,23483.5
904,1,1.0,91896.28787878789,23270.5
905,1,2.0,84318.85897435897,27509.0
906,1,3.0,87211.60869565218,23985.5
907,1,2.0,74322.64788732394,22390.5
908,1,1.0,169463.34615384616,29485.0
909,1,3.0,84260.35820895522,19832.0
910,1,3.0,97013.07142857143,23582.0
911,1,1.0,118686.31578947368,24467.666666666668
912,1,1.0,89627.09433962264,24453.0
913,1,1.0,120079.91666666669,29915.33333333333
914,1,1.0,152341.38636363635,394954.3333333333
915,1,1.0,103976.30188679244,30503.0
916,1,1.0,107228.30357142857,24306.0
917,1,2.0,76112.84507042254,23483.0
918,1,1.0,108047.61818181818,21886.0
926,1,1.0,95070.12068965516,22295.0
927,1,2.0,108470.75,24956.0
928,1,1.0,106821.57142857143,22440.0
929,1,1.0,100101.91228070176,25159.5
930,1,2.0,92274.33333333331,23092.666666666668
931,1,3.0,84159.91025641025,24838.0
932,1,1.0,78759.21428571429,23708.0
933,1,2.0,76348.30985915494,21869.0
934,1,1.0,105533.25,28698.0
936,1,6.0,93072.60869565218,21281.166666666668
36,19,16.0,91636.03571428572,21281.166666666668
937,1,1.0,116753.18604651163,22679.0
37,19,16.0,101766.2181818182,22679.0
938,1,1.0,88314.8679245283,24368.0
38,19,12.0,100685.29411764706,24368.0
939,1,18.0,124020.3125,28917.0
39,19,11.0,86517.140625,28917.0
940,1,1.0,99745.43396226416,22957.5
40,19,18.0,79862.07894736843,22957.5
941,1,1.0,110019.320754717,30216.0
41,19,11.0,89651.57142857143,30216.0
942,1,1.0,118798.26785714286,24221.0
42,19,11.0,76853.25,24221.0
943,1,2.0,86718.19718309859,22316.0
43,19,19.0,104767.0,22316.0
44,19,18.0,101542.71428571428,23470.666666666668
944,1,2.0,77138.67605633802,23470.666666666668
45,19,12.0,130050.79661016948,21369.0
945,1,2.0,107608.10909090909,21369.0
948,1,2.0,114098.68421052632,556013.5
48,19,14.0,90949.15384615384,556013.5
49,19,16.0,114039.13953488372,24688.666666666668
949,1,3.0,99032.35087719298,24688.666666666668
50,19,15.0,112735.77777777778,24425.2
950,1,7.0,107359.30357142857,24425.2
951,1,2.0,105415.45283018867,30001.0
51,19,20.0,115347.18181818182,30001.0
953,1,1.0,91911.96153846152,26315.0
954,1,1.0,78075.65714285715,22243.0
955,1,5.0,110366.6862745098,20108.0
956,1,1.0,74057.84507042254,20181.5
957,1,1.0,109535.21153846152,29535.5
958,1,1.0,86144.5,21607.0
959,1,1.0,81256.71641791044,18543.0
960,1,3.0,143606.63636363635,349084.3333333333
961,1,2.0,87984.1320754717,23633.0
962,1,3.0,114048.98360655738,27584.75
963,1,1.0,103314.3,23689.0
964,1,3.0,98285.07547169812,22860.5
965,1,1.0,105225.32142857143,23588.0
966,1,1.0,84949.32394366198,21709.0
967,1,1.0,152976.54929577466,1746204.5
968,1,1.0,106982.05454545456,21977.5
969,1,2.0,88800.82456140351,21709.0
970,1,1.0,104574.25,20255.0
971,1,2.0,98947.9649122807,30684.5
72,19,16.0,107396.5,29739.0
972,1,4.0,102405.05769230767,29739.0
973,1,1.0,87219.65151515152,21633.0
974,1,7.0,80771.03846153847,24155.0
975,1,1.0,79787.91428571429,23061.0
976,1,5.0,145916.88235294115,343361.25
977,1,4.0,69238.77464788733,20761.0
978,1,1.0,95831.96078431372,27733.0
979,1,4.0,85708.54285714286,21338.0
980,1,1.0,115518.63636363635,22197.0
981,1,1.0,85515.32075471699,23725.0
982,1,1.0,127647.31034482758,26903.25
983,1,2.0,96679.64285714286,23489.0
984,1,1.0,99079.1320754717,22724.0
985,1,2.0,100553.41071428572,23402.0
986,1,9.0,83363.94285714286,26299.0
987,1,4.0,77348.30985915494,20115.0
988,1,2.0,102872.0181818182,21274.0
989,1,1.0,92729.63793103448,21821.0
990,1,10.0,96990.38596491228,24302.0
991,1,5.0,102738.66071428572,22464.0
992,1,1.0,122044.92156862744,20853.0
993,1,1.0,86817.75757575757,22085.0
994,1,3.0,79382.30769230769,23739.0
995,1,5.0,78425.5294117647,23335.0
